pl,mig
Czy pani jest głucha?, PANI GŁUCHY
Czy pan jest głuchy?, PAN GŁUCHY
Czy pani jest głuchoniema?, TY GŁUCHY
Czy pan jest głuchoniemy?, TY GŁUCHY
Czy pani jest głuchoniema?, PANI GŁUCHY
Czy pan jest głuchoniemy?, PAN GŁUCHY
Czy pani Jest słysząca?, TY SŁYSZEĆ
Czy pan Jest słyszący?, TY SŁYSZEĆ
Czy pani Jest słysząca?, PANI SŁYSZEĆ
Czy pan Jest słyszący?, PAN SŁYSZEĆ
Czy pani ma orzeczenie o niepełnosprawności?, TY INWALIDA GRUPA JAK WYGLĄDA
Czy pan ma orzeczenie o niepełnosprawności?, TY INWALIDA GRUPA JAK WYGLĄDA
Czy pani ma orzeczenie o niepełnosprawności?, TY ORZECZENIE NIEPEŁNOSPRAWNY MIEĆ
Czy pan ma orzeczenie o niepełnosprawności?, TY ORZECZENIE NIEPEŁNOSPRAWNY MIEĆ
Czy pani ma orzeczenie o niepełnosprawności?, PANI ORZECZENIE NIEPEŁNOSPRAWNY MIEĆ
Czy pan ma orzeczenie o niepełnosprawności?, PAN ORZECZENIE NIEPEŁNOSPRAWNY MIEĆ
Czy pani umie pisać?, TY PISAĆ UMIEĆ
Czy pan umie pisać?, TY PISAĆ UMIEĆ
Czy pani umie pisać?, PANI PISAĆ UMIEĆ
Czy pan umie pisać?, PAN PISAĆ UMIEĆ
Czy pani umie czytać?, TY CZYTAĆ UMIEĆ
Czy pan umie czytać?, TY CZYTAĆ UMIEĆ
Czy pani umie czytać?, PANI CZYTAĆ UMIEĆ
Czy pan umie czytać?, PAN CZYTAĆ UMIEĆ
Proszę się tu podpisać., TY PODPISAĆ TU
Proszę się tu podpisać., PANI PODPISAĆ TU
Proszę się tu podpisać., PAN PODPISAĆ TU 
Czy pan otrzymał wezwanie?, TY WEZWANIE MASZ OTRZYMAĆ
Czy pani otrzymała wezwanie?, TY WEZWANIE MASZ OTRZYMAĆ
Czy pan otrzymał wezwanie?, PAN WEZWANIE MASZ OTRZYMAĆ
Czy pani otrzymała wezwanie?, PANI WEZWANIE MASZ OTRZYMAĆ
Czy pani przeczytał wezwanie?, TY WEZWANIE CZYTAĆ BYŁO
Czy pan przeczytał wezwanie?, TY WEZWANIE CZYTAĆ BYŁO
Czy pani przeczytał wezwanie?, PANI WEZWANIE CZYTAĆ BYŁO
Czy pan przeczytał wezwanie?, PAN WEZWANIE CZYTAĆ BYŁO
Ja nie mam orzeczenia o niepełnosprawności., JA ORZECZENIE NIEPEŁNOSPRAWNY NIE MIEĆ
Czy ma pani dowód osobisty?, TY DOWÓD MIEĆ
Czy ma pan dowód osobisty?, TY DOWÓD MIEĆ
Czy ma pani dowód osobisty?, PANI DOWÓD MIEĆ
Czy ma pan dowód osobisty?, PAN DOWÓD MIEĆ
Czy ma pani paszport?, TY PASZPORT MIEĆ
Czy ma pan paszport?, TY PASZPORT MIEĆ
Czy ma pani paszport?, PANI PASZPORT MIEĆ
Czy ma pan paszport?, PAN PASZPORT MIEĆ
Ja mam legitymację., JA LEGITYMACJA MIEĆ
Ja mam legitymację., JA MIEĆ LEGITYMACJA
Jaki ma pani numer dowodu osobistego?, TY DOWÓD NUMER JAKI
Jaki ma pan numer dowodu osobistego?, TY DOWÓD NUMER JAKI
Jaki ma pani numer dowodu osobistego?, PANI DOWÓD NUMER JAKI
Jaki ma pan numer dowodu osobistego?, PAN DOWÓD NUMER JAKI
Jaki ma pani numer domu?, TY DOM NUMER JAKI
Jaki ma pan numer domu?, TY DOM NUMER JAKI
Jaki ma pani numer domu?, PANI DOM NUMER JAKI
Jaki ma pan numer domu?, PAN DOM NUMER JAKI
Gdzie pani mieszka?, TY MIESZKAĆ GDZIE
Gdzie pan mieszka?, TY MIESZKAĆ GDZIE
Gdzie pani mieszka?, PANI MIESZKAĆ GDZIE
Gdzie pan mieszka?, PAN MIESZKAĆ GDZIE
Ja mieszkam w Rzeszowie., JA MIESZKAĆ RZESZÓW
Lubię miasto Rzeszów., JA RZESZÓW LUBIEĆ
Jaki ma pani adres?, TY ADRES JAKI
Jaki ma pan adres?, TY ADRES JAKI
